data_status,product_instance,stage_id,stage_name,synthetic_activity_value,activity_unit,emission_factor_gCO2e_per_unit,factor_status,co2e_kg
SYNTHETIC,253,7,"International shipping (sea, container) [SYNTHETIC]",67,"tonne-km",16.12,CITED,1.08
SYNTHETIC,253,8,"Use-phase electricity [SYNTHETIC]",208,"kWh lifetime electricity",445,CITED,92.56
SYNTHETIC,253,9,"Repair (replacement battery) [SYNTHETIC]",0.0601,"kWh replacement-battery capacity",74000,CITED,4.447
SYNTHETIC,253,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.9,"kg mass processed",-1170.4,CITED,-2.224
SYNTHETIC,254,1,"Aluminium casing [SYNTHETIC]",1.185,"kg aluminium",14800,CITED,17.538
SYNTHETIC,254,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.322,"kg populated board",185714,DERIVED_FROM_CITED,59.8
SYNTHETIC,254,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0623,"kWh cell capacity",74000,CITED,4.61
SYNTHETIC,254,4,"Screen (LCD module) [SYNTHETIC]",0.0629,"m2 panel area",222000,CITED,13.964
SYNTHETIC,254,5,"Assembly electricity [SYNTHETIC]",27.1,"kWh factory electricity",445,CITED,12.059
SYNTHETIC,254,6,"Packaging (cardboard) [SYNTHETIC]",1.24,"kg packaging material",1199.73,CITED,1.488
SYNTHETIC,254,7,"International shipping (sea, container) [SYNTHETIC]",66.5,"tonne-km",16.12,CITED,1.072
SYNTHETIC,254,8,"Use-phase electricity [SYNTHETIC]",146,"kWh lifetime electricity",445,CITED,64.97
SYNTHETIC,254,9,"Repair (replacement battery) [SYNTHETIC]",0.0631,"kWh replacement-battery capacity",74000,CITED,4.669
SYNTHETIC,254,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.17,"kg mass processed",-1170.4,CITED,-2.54
SYNTHETIC,255,1,"Aluminium casing [SYNTHETIC]",1.47,"kg aluminium",14800,CITED,21.756
SYNTHETIC,255,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.368,"kg populated board",185714,DERIVED_FROM_CITED,68.343
SYNTHETIC,255,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0608,"kWh cell capacity",74000,CITED,4.499
SYNTHETIC,255,4,"Screen (LCD module) [SYNTHETIC]",0.0609,"m2 panel area",222000,CITED,13.52
SYNTHETIC,255,5,"Assembly electricity [SYNTHETIC]",35.3,"kWh factory electricity",445,CITED,15.708
SYNTHETIC,255,6,"Packaging (cardboard) [SYNTHETIC]",0.82,"kg packaging material",1199.73,CITED,0.984
SYNTHETIC,255,7,"International shipping (sea, container) [SYNTHETIC]",81.3,"tonne-km",16.12,CITED,1.311
SYNTHETIC,255,8,"Use-phase electricity [SYNTHETIC]",254,"kWh lifetime electricity",445,CITED,113.03
SYNTHETIC,255,9,"Repair (replacement battery) [SYNTHETIC]",0.0504,"kWh replacement-battery capacity",74000,CITED,3.73
SYNTHETIC,255,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.04,"kg mass processed",-1170.4,CITED,-2.388
SYNTHETIC,256,1,"Aluminium casing [SYNTHETIC]",1.155,"kg aluminium",14800,CITED,17.094
SYNTHETIC,256,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.461,"kg populated board",185714,DERIVED_FROM_CITED,85.614
SYNTHETIC,256,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.055,"kWh cell capacity",74000,CITED,4.07
SYNTHETIC,256,4,"Screen (LCD module) [SYNTHETIC]",0.0579,"m2 panel area",222000,CITED,12.854
SYNTHETIC,256,5,"Assembly electricity [SYNTHETIC]",28.8,"kWh factory electricity",445,CITED,12.816
SYNTHETIC,256,6,"Packaging (cardboard) [SYNTHETIC]",0.84,"kg packaging material",1199.73,CITED,1.008
SYNTHETIC,256,7,"International shipping (sea, container) [SYNTHETIC]",65.2,"tonne-km",16.12,CITED,1.051
SYNTHETIC,256,8,"Use-phase electricity [SYNTHETIC]",210,"kWh lifetime electricity",445,CITED,93.45
SYNTHETIC,256,9,"Repair (replacement battery) [SYNTHETIC]",0.0556,"kWh replacement-battery capacity",74000,CITED,4.114
SYNTHETIC,256,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.83,"kg mass processed",-1170.4,CITED,-2.142
SYNTHETIC,257,1,"Aluminium casing [SYNTHETIC]",1.12,"kg aluminium",14800,CITED,16.576
SYNTHETIC,257,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.291,"kg populated board",185714,DERIVED_FROM_CITED,54.043
SYNTHETIC,257,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0661,"kWh cell capacity",74000,CITED,4.891
SYNTHETIC,257,4,"Screen (LCD module) [SYNTHETIC]",0.0576,"m2 panel area",222000,CITED,12.787
SYNTHETIC,257,5,"Assembly electricity [SYNTHETIC]",30.7,"kWh factory electricity",445,CITED,13.662
SYNTHETIC,257,6,"Packaging (cardboard) [SYNTHETIC]",0.92,"kg packaging material",1199.73,CITED,1.104
SYNTHETIC,257,7,"International shipping (sea, container) [SYNTHETIC]",56.2,"tonne-km",16.12,CITED,0.906
SYNTHETIC,257,8,"Use-phase electricity [SYNTHETIC]",178,"kWh lifetime electricity",445,CITED,79.21
SYNTHETIC,257,9,"Repair (replacement battery) [SYNTHETIC]",0.0584,"kWh replacement-battery capacity",74000,CITED,4.322
SYNTHETIC,257,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.87,"kg mass processed",-1170.4,CITED,-2.189
SYNTHETIC,258,1,"Aluminium casing [SYNTHETIC]",1,"kg aluminium",14800,CITED,14.8
SYNTHETIC,258,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.32,"kg populated board",185714,DERIVED_FROM_CITED,59.428
SYNTHETIC,258,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0628,"kWh cell capacity",74000,CITED,4.647
SYNTHETIC,258,4,"Screen (LCD module) [SYNTHETIC]",0.0609,"m2 panel area",222000,CITED,13.52
SYNTHETIC,258,5,"Assembly electricity [SYNTHETIC]",36.6,"kWh factory electricity",445,CITED,16.287
SYNTHETIC,258,6,"Packaging (cardboard) [SYNTHETIC]",1.02,"kg packaging material",1199.73,CITED,1.224
SYNTHETIC,258,7,"International shipping (sea, container) [SYNTHETIC]",75.3,"tonne-km",16.12,CITED,1.214
SYNTHETIC,258,8,"Use-phase electricity [SYNTHETIC]",118,"kWh lifetime electricity",445,CITED,52.51
SYNTHETIC,258,9,"Repair (replacement battery) [SYNTHETIC]",0.0594,"kWh replacement-battery capacity",74000,CITED,4.396
SYNTHETIC,258,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.73,"kg mass processed",-1170.4,CITED,-2.025
SYNTHETIC,259,1,"Aluminium casing [SYNTHETIC]",1.002,"kg aluminium",14800,CITED,14.83
SYNTHETIC,259,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.38,"kg populated board",185714,DERIVED_FROM_CITED,70.571
SYNTHETIC,259,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0584,"kWh cell capacity",74000,CITED,4.322
SYNTHETIC,259,4,"Screen (LCD module) [SYNTHETIC]",0.0568,"m2 panel area",222000,CITED,12.61
SYNTHETIC,259,5,"Assembly electricity [SYNTHETIC]",24.7,"kWh factory electricity",445,CITED,10.992
SYNTHETIC,259,6,"Packaging (cardboard) [SYNTHETIC]",0.86,"kg packaging material",1199.73,CITED,1.032
SYNTHETIC,259,7,"International shipping (sea, container) [SYNTHETIC]",77.1,"tonne-km",16.12,CITED,1.243
SYNTHETIC,259,8,"Use-phase electricity [SYNTHETIC]",207,"kWh lifetime electricity",445,CITED,92.115
SYNTHETIC,259,9,"Repair (replacement battery) [SYNTHETIC]",0.0495,"kWh replacement-battery capacity",74000,CITED,3.663
SYNTHETIC,259,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.85,"kg mass processed",-1170.4,CITED,-2.165
SYNTHETIC,260,1,"Aluminium casing [SYNTHETIC]",1.01,"kg aluminium",14800,CITED,14.948
SYNTHETIC,260,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.397,"kg populated board",185714,DERIVED_FROM_CITED,73.728
SYNTHETIC,260,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0782,"kWh cell capacity",74000,CITED,5.787
SYNTHETIC,260,4,"Screen (LCD module) [SYNTHETIC]",0.0663,"m2 panel area",222000,CITED,14.719
SYNTHETIC,260,5,"Assembly electricity [SYNTHETIC]",21.9,"kWh factory electricity",445,CITED,9.745
SYNTHETIC,260,6,"Packaging (cardboard) [SYNTHETIC]",0.96,"kg packaging material",1199.73,CITED,1.152
SYNTHETIC,260,7,"International shipping (sea, container) [SYNTHETIC]",67.1,"tonne-km",16.12,CITED,1.082
SYNTHETIC,260,8,"Use-phase electricity [SYNTHETIC]",214,"kWh lifetime electricity",445,CITED,95.23
SYNTHETIC,260,9,"Repair (replacement battery) [SYNTHETIC]",0.0629,"kWh replacement-battery capacity",74000,CITED,4.655
SYNTHETIC,260,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.07,"kg mass processed",-1170.4,CITED,-2.423
SYNTHETIC,261,1,"Aluminium casing [SYNTHETIC]",1.231,"kg aluminium",14800,CITED,18.219
SYNTHETIC,261,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.302,"kg populated board",185714,DERIVED_FROM_CITED,56.086
SYNTHETIC,261,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0628,"kWh cell capacity",74000,CITED,4.647
SYNTHETIC,261,4,"Screen (LCD module) [SYNTHETIC]",0.061,"m2 panel area",222000,CITED,13.542
SYNTHETIC,261,5,"Assembly electricity [SYNTHETIC]",24.1,"kWh factory electricity",445,CITED,10.725
SYNTHETIC,261,6,"Packaging (cardboard) [SYNTHETIC]",1.12,"kg packaging material",1199.73,CITED,1.344
SYNTHETIC,261,7,"International shipping (sea, container) [SYNTHETIC]",73,"tonne-km",16.12,CITED,1.177
SYNTHETIC,261,8,"Use-phase electricity [SYNTHETIC]",82,"kWh lifetime electricity",445,CITED,36.49
SYNTHETIC,261,9,"Repair (replacement battery) [SYNTHETIC]",0.0508,"kWh replacement-battery capacity",74000,CITED,3.759
SYNTHETIC,261,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.97,"kg mass processed",-1170.4,CITED,-2.306
SYNTHETIC,262,1,"Aluminium casing [SYNTHETIC]",1.126,"kg aluminium",14800,CITED,16.665
SYNTHETIC,262,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.403,"kg populated board",185714,DERIVED_FROM_CITED,74.843
SYNTHETIC,262,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0549,"kWh cell capacity",74000,CITED,4.063
SYNTHETIC,262,4,"Screen (LCD module) [SYNTHETIC]",0.0595,"m2 panel area",222000,CITED,13.209
SYNTHETIC,262,5,"Assembly electricity [SYNTHETIC]",29,"kWh factory electricity",445,CITED,12.905
SYNTHETIC,262,6,"Packaging (cardboard) [SYNTHETIC]",0.87,"kg packaging material",1199.73,CITED,1.044
SYNTHETIC,262,7,"International shipping (sea, container) [SYNTHETIC]",59.7,"tonne-km",16.12,CITED,0.962
SYNTHETIC,262,8,"Use-phase electricity [SYNTHETIC]",157,"kWh lifetime electricity",445,CITED,69.865
SYNTHETIC,262,9,"Repair (replacement battery) [SYNTHETIC]",0.0552,"kWh replacement-battery capacity",74000,CITED,4.085
SYNTHETIC,262,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.18,"kg mass processed",-1170.4,CITED,-2.551
SYNTHETIC,263,1,"Aluminium casing [SYNTHETIC]",1.058,"kg aluminium",14800,CITED,15.658
SYNTHETIC,263,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.344,"kg populated board",185714,DERIVED_FROM_CITED,63.886
SYNTHETIC,263,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0677,"kWh cell capacity",74000,CITED,5.01
SYNTHETIC,263,4,"Screen (LCD module) [SYNTHETIC]",0.0594,"m2 panel area",222000,CITED,13.187
SYNTHETIC,263,5,"Assembly electricity [SYNTHETIC]",26.5,"kWh factory electricity",445,CITED,11.793
SYNTHETIC,263,6,"Packaging (cardboard) [SYNTHETIC]",1.23,"kg packaging material",1199.73,CITED,1.476
SYNTHETIC,263,7,"International shipping (sea, container) [SYNTHETIC]",67.8,"tonne-km",16.12,CITED,1.093
SYNTHETIC,263,8,"Use-phase electricity [SYNTHETIC]",136,"kWh lifetime electricity",445,CITED,60.52
SYNTHETIC,263,9,"Repair (replacement battery) [SYNTHETIC]",0.0513,"kWh replacement-battery capacity",74000,CITED,3.796
SYNTHETIC,263,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.27,"kg mass processed",-1170.4,CITED,-2.657
SYNTHETIC,264,1,"Aluminium casing [SYNTHETIC]",1.253,"kg aluminium",14800,CITED,18.544
SYNTHETIC,264,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.43,"kg populated board",185714,DERIVED_FROM_CITED,79.857
SYNTHETIC,264,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0611,"kWh cell capacity",74000,CITED,4.521
SYNTHETIC,264,4,"Screen (LCD module) [SYNTHETIC]",0.0596,"m2 panel area",222000,CITED,13.231
SYNTHETIC,264,5,"Assembly electricity [SYNTHETIC]",27.3,"kWh factory electricity",445,CITED,12.149
SYNTHETIC,264,6,"Packaging (cardboard) [SYNTHETIC]",0.7,"kg packaging material",1199.73,CITED,0.84
SYNTHETIC,264,7,"International shipping (sea, container) [SYNTHETIC]",44.5,"tonne-km",16.12,CITED,0.717
SYNTHETIC,264,8,"Use-phase electricity [SYNTHETIC]",166,"kWh lifetime electricity",445,CITED,73.87
SYNTHETIC,264,9,"Repair (replacement battery) [SYNTHETIC]",0.0478,"kWh replacement-battery capacity",74000,CITED,3.537
SYNTHETIC,264,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.85,"kg mass processed",-1170.4,CITED,-2.165
SYNTHETIC,265,1,"Aluminium casing [SYNTHETIC]",1.35,"kg aluminium",14800,CITED,19.98
SYNTHETIC,265,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.274,"kg populated board",185714,DERIVED_FROM_CITED,50.886
SYNTHETIC,265,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0567,"kWh cell capacity",74000,CITED,4.196
SYNTHETIC,265,4,"Screen (LCD module) [SYNTHETIC]",0.0605,"m2 panel area",222000,CITED,13.431
SYNTHETIC,265,5,"Assembly electricity [SYNTHETIC]",32.3,"kWh factory electricity",445,CITED,14.373
SYNTHETIC,265,6,"Packaging (cardboard) [SYNTHETIC]",0.99,"kg packaging material",1199.73,CITED,1.188
SYNTHETIC,265,7,"International shipping (sea, container) [SYNTHETIC]",65.7,"tonne-km",16.12,CITED,1.059
SYNTHETIC,265,8,"Use-phase electricity [SYNTHETIC]",191,"kWh lifetime electricity",445,CITED,84.995
SYNTHETIC,265,9,"Repair (replacement battery) [SYNTHETIC]",0.0553,"kWh replacement-battery capacity",74000,CITED,4.092
SYNTHETIC,265,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.64,"kg mass processed",-1170.4,CITED,-1.919
SYNTHETIC,266,1,"Aluminium casing [SYNTHETIC]",1.058,"kg aluminium",14800,CITED,15.658
SYNTHETIC,266,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.405,"kg populated board",185714,DERIVED_FROM_CITED,75.214
SYNTHETIC,266,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0562,"kWh cell capacity",74000,CITED,4.159
SYNTHETIC,266,4,"Screen (LCD module) [SYNTHETIC]",0.0667,"m2 panel area",222000,CITED,14.807
SYNTHETIC,266,5,"Assembly electricity [SYNTHETIC]",28,"kWh factory electricity",445,CITED,12.46
SYNTHETIC,266,6,"Packaging (cardboard) [SYNTHETIC]",0.88,"kg packaging material",1199.73,CITED,1.056
SYNTHETIC,266,7,"International shipping (sea, container) [SYNTHETIC]",64.5,"tonne-km",16.12,CITED,1.04
SYNTHETIC,266,8,"Use-phase electricity [SYNTHETIC]",213,"kWh lifetime electricity",445,CITED,94.785
SYNTHETIC,266,9,"Repair (replacement battery) [SYNTHETIC]",0.0691,"kWh replacement-battery capacity",74000,CITED,5.113
SYNTHETIC,266,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.11,"kg mass processed",-1170.4,CITED,-2.47
SYNTHETIC,267,1,"Aluminium casing [SYNTHETIC]",1.381,"kg aluminium",14800,CITED,20.439
SYNTHETIC,267,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.44,"kg populated board",185714,DERIVED_FROM_CITED,81.714
SYNTHETIC,267,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0602,"kWh cell capacity",74000,CITED,4.455
SYNTHETIC,267,4,"Screen (LCD module) [SYNTHETIC]",0.0685,"m2 panel area",222000,CITED,15.207
SYNTHETIC,267,5,"Assembly electricity [SYNTHETIC]",18.3,"kWh factory electricity",445,CITED,8.143
SYNTHETIC,267,6,"Packaging (cardboard) [SYNTHETIC]",0.85,"kg packaging material",1199.73,CITED,1.02
SYNTHETIC,267,7,"International shipping (sea, container) [SYNTHETIC]",73.5,"tonne-km",16.12,CITED,1.185
SYNTHETIC,267,8,"Use-phase electricity [SYNTHETIC]",233,"kWh lifetime electricity",445,CITED,103.685
SYNTHETIC,267,9,"Repair (replacement battery) [SYNTHETIC]",0.0488,"kWh replacement-battery capacity",74000,CITED,3.611
SYNTHETIC,267,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.22,"kg mass processed",-1170.4,CITED,-2.598
SYNTHETIC,268,1,"Aluminium casing [SYNTHETIC]",0.937,"kg aluminium",14800,CITED,13.868
SYNTHETIC,268,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.406,"kg populated board",185714,DERIVED_FROM_CITED,75.4
SYNTHETIC,268,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0552,"kWh cell capacity",74000,CITED,4.085
SYNTHETIC,268,4,"Screen (LCD module) [SYNTHETIC]",0.0569,"m2 panel area",222000,CITED,12.632
SYNTHETIC,268,5,"Assembly electricity [SYNTHETIC]",20.2,"kWh factory electricity",445,CITED,8.989
SYNTHETIC,268,6,"Packaging (cardboard) [SYNTHETIC]",0.71,"kg packaging material",1199.73,CITED,0.852
SYNTHETIC,268,7,"International shipping (sea, container) [SYNTHETIC]",61.5,"tonne-km",16.12,CITED,0.991
SYNTHETIC,268,8,"Use-phase electricity [SYNTHETIC]",211,"kWh lifetime electricity",445,CITED,93.895
SYNTHETIC,268,9,"Repair (replacement battery) [SYNTHETIC]",0.0657,"kWh replacement-battery capacity",74000,CITED,4.862
SYNTHETIC,268,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.95,"kg mass processed",-1170.4,CITED,-2.282
SYNTHETIC,269,1,"Aluminium casing [SYNTHETIC]",0.998,"kg aluminium",14800,CITED,14.77
SYNTHETIC,269,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.278,"kg populated board",185714,DERIVED_FROM_CITED,51.628
SYNTHETIC,269,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0662,"kWh cell capacity",74000,CITED,4.899
SYNTHETIC,269,4,"Screen (LCD module) [SYNTHETIC]",0.0574,"m2 panel area",222000,CITED,12.743
SYNTHETIC,269,5,"Assembly electricity [SYNTHETIC]",21.6,"kWh factory electricity",445,CITED,9.612
SYNTHETIC,269,6,"Packaging (cardboard) [SYNTHETIC]",0.59,"kg packaging material",1199.73,CITED,0.708
SYNTHETIC,269,7,"International shipping (sea, container) [SYNTHETIC]",64.5,"tonne-km",16.12,CITED,1.04
SYNTHETIC,269,8,"Use-phase electricity [SYNTHETIC]",135,"kWh lifetime electricity",445,CITED,60.075
SYNTHETIC,269,9,"Repair (replacement battery) [SYNTHETIC]",0.0579,"kWh replacement-battery capacity",74000,CITED,4.285
SYNTHETIC,269,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.9,"kg mass processed",-1170.4,CITED,-2.224
SYNTHETIC,270,1,"Aluminium casing [SYNTHETIC]",1.365,"kg aluminium",14800,CITED,20.202
SYNTHETIC,270,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.262,"kg populated board",185714,DERIVED_FROM_CITED,48.657
SYNTHETIC,270,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0563,"kWh cell capacity",74000,CITED,4.166
SYNTHETIC,270,4,"Screen (LCD module) [SYNTHETIC]",0.0629,"m2 panel area",222000,CITED,13.964
SYNTHETIC,270,5,"Assembly electricity [SYNTHETIC]",26.6,"kWh factory electricity",445,CITED,11.837
SYNTHETIC,270,6,"Packaging (cardboard) [SYNTHETIC]",0.96,"kg packaging material",1199.73,CITED,1.152
SYNTHETIC,270,7,"International shipping (sea, container) [SYNTHETIC]",59.5,"tonne-km",16.12,CITED,0.959
SYNTHETIC,270,8,"Use-phase electricity [SYNTHETIC]",155,"kWh lifetime electricity",445,CITED,68.975
SYNTHETIC,270,9,"Repair (replacement battery) [SYNTHETIC]",0.0625,"kWh replacement-battery capacity",74000,CITED,4.625
SYNTHETIC,270,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.07,"kg mass processed",-1170.4,CITED,-2.423
SYNTHETIC,271,1,"Aluminium casing [SYNTHETIC]",1.193,"kg aluminium",14800,CITED,17.656
SYNTHETIC,271,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.418,"kg populated board",185714,DERIVED_FROM_CITED,77.628
SYNTHETIC,271,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0601,"kWh cell capacity",74000,CITED,4.447
SYNTHETIC,271,4,"Screen (LCD module) [SYNTHETIC]",0.0589,"m2 panel area",222000,CITED,13.076
SYNTHETIC,271,5,"Assembly electricity [SYNTHETIC]",19.7,"kWh factory electricity",445,CITED,8.767
SYNTHETIC,271,6,"Packaging (cardboard) [SYNTHETIC]",0.8,"kg packaging material",1199.73,CITED,0.96
SYNTHETIC,271,7,"International shipping (sea, container) [SYNTHETIC]",63.9,"tonne-km",16.12,CITED,1.03
SYNTHETIC,271,8,"Use-phase electricity [SYNTHETIC]",200,"kWh lifetime electricity",445,CITED,89
SYNTHETIC,271,9,"Repair (replacement battery) [SYNTHETIC]",0.0587,"kWh replacement-battery capacity",74000,CITED,4.344
SYNTHETIC,271,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.76,"kg mass processed",-1170.4,CITED,-2.06
SYNTHETIC,272,1,"Aluminium casing [SYNTHETIC]",1.128,"kg aluminium",14800,CITED,16.694
SYNTHETIC,272,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.283,"kg populated board",185714,DERIVED_FROM_CITED,52.557
SYNTHETIC,272,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0634,"kWh cell capacity",74000,CITED,4.692
SYNTHETIC,272,4,"Screen (LCD module) [SYNTHETIC]",0.0687,"m2 panel area",222000,CITED,15.251
SYNTHETIC,272,5,"Assembly electricity [SYNTHETIC]",27.5,"kWh factory electricity",445,CITED,12.238
SYNTHETIC,272,6,"Packaging (cardboard) [SYNTHETIC]",1.13,"kg packaging material",1199.73,CITED,1.356
SYNTHETIC,272,7,"International shipping (sea, container) [SYNTHETIC]",73.4,"tonne-km",16.12,CITED,1.183
SYNTHETIC,272,8,"Use-phase electricity [SYNTHETIC]",201,"kWh lifetime electricity",445,CITED,89.445
SYNTHETIC,272,9,"Repair (replacement battery) [SYNTHETIC]",0.0665,"kWh replacement-battery capacity",74000,CITED,4.921
SYNTHETIC,272,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.94,"kg mass processed",-1170.4,CITED,-2.271
SYNTHETIC,273,1,"Aluminium casing [SYNTHETIC]",0.992,"kg aluminium",14800,CITED,14.682
SYNTHETIC,273,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.413,"kg populated board",185714,DERIVED_FROM_CITED,76.7
SYNTHETIC,273,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0587,"kWh cell capacity",74000,CITED,4.344
SYNTHETIC,273,4,"Screen (LCD module) [SYNTHETIC]",0.0481,"m2 panel area",222000,CITED,10.678
SYNTHETIC,273,5,"Assembly electricity [SYNTHETIC]",18.4,"kWh factory electricity",445,CITED,8.188
SYNTHETIC,273,6,"Packaging (cardboard) [SYNTHETIC]",0.9,"kg packaging material",1199.73,CITED,1.08
SYNTHETIC,273,7,"International shipping (sea, container) [SYNTHETIC]",72,"tonne-km",16.12,CITED,1.161
SYNTHETIC,273,8,"Use-phase electricity [SYNTHETIC]",162,"kWh lifetime electricity",445,CITED,72.09
SYNTHETIC,273,9,"Repair (replacement battery) [SYNTHETIC]",0.0737,"kWh replacement-battery capacity",74000,CITED,5.454
SYNTHETIC,273,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.35,"kg mass processed",-1170.4,CITED,-2.75
SYNTHETIC,274,1,"Aluminium casing [SYNTHETIC]",0.921,"kg aluminium",14800,CITED,13.631
SYNTHETIC,274,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.314,"kg populated board",185714,DERIVED_FROM_CITED,58.314
SYNTHETIC,274,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0495,"kWh cell capacity",74000,CITED,3.663
SYNTHETIC,274,4,"Screen (LCD module) [SYNTHETIC]",0.0555,"m2 panel area",222000,CITED,12.321
SYNTHETIC,274,5,"Assembly electricity [SYNTHETIC]",29.8,"kWh factory electricity",445,CITED,13.261
SYNTHETIC,274,6,"Packaging (cardboard) [SYNTHETIC]",0.74,"kg packaging material",1199.73,CITED,0.888
SYNTHETIC,274,7,"International shipping (sea, container) [SYNTHETIC]",54.6,"tonne-km",16.12,CITED,0.88
SYNTHETIC,274,8,"Use-phase electricity [SYNTHETIC]",102,"kWh lifetime electricity",445,CITED,45.39
SYNTHETIC,274,9,"Repair (replacement battery) [SYNTHETIC]",0.0555,"kWh replacement-battery capacity",74000,CITED,4.107
SYNTHETIC,274,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",2.24,"kg mass processed",-1170.4,CITED,-2.622
SYNTHETIC,275,1,"Aluminium casing [SYNTHETIC]",1.233,"kg aluminium",14800,CITED,18.248
SYNTHETIC,275,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.285,"kg populated board",185714,DERIVED_FROM_CITED,52.928
SYNTHETIC,275,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0581,"kWh cell capacity",74000,CITED,4.299
SYNTHETIC,275,4,"Screen (LCD module) [SYNTHETIC]",0.0643,"m2 panel area",222000,CITED,14.275
SYNTHETIC,275,5,"Assembly electricity [SYNTHETIC]",26.3,"kWh factory electricity",445,CITED,11.704
SYNTHETIC,275,6,"Packaging (cardboard) [SYNTHETIC]",0.87,"kg packaging material",1199.73,CITED,1.044
SYNTHETIC,275,7,"International shipping (sea, container) [SYNTHETIC]",79.2,"tonne-km",16.12,CITED,1.277
SYNTHETIC,275,8,"Use-phase electricity [SYNTHETIC]",179,"kWh lifetime electricity",445,CITED,79.655
SYNTHETIC,275,9,"Repair (replacement battery) [SYNTHETIC]",0.0586,"kWh replacement-battery capacity",74000,CITED,4.336
SYNTHETIC,275,10,"E-waste recycling (avoided-burden credit) [SYNTHETIC]",1.66,"kg mass processed",-1170.4,CITED,-1.943
SYNTHETIC,276,1,"Aluminium casing [SYNTHETIC]",1.264,"kg aluminium",14800,CITED,18.707
SYNTHETIC,276,2,"Circuit board (PCB, populated) [SYNTHETIC]",0.354,"kg populated board",185714,DERIVED_FROM_CITED,65.743
SYNTHETIC,276,3,"Battery (Li-ion cell production) [SYNTHETIC]",0.0601,"kWh cell capacity",74000,CITED,4.447
